"chr" "start" "end" "stat" "pvalue" "FDR"
"chr4" 3278 3534 20.6288704119577 0.419258792770667 1
"chr4" 3539 3662 12.3111042452384 0.904951877665648 1
"chr4" 3667 3776 19.4439311863447 0.493160967965483 1
"chr4" 3778 3897 22.2118446329632 0.329126921571008 1
"chr4" 3902 3984 23.9068022126289 0.246486957901123 1
"chr4" 3990 4081 20.4546173432076 0.42983331152261 1
"chr4" 4082 4169 15.7903911814165 0.729539922941279 1
"chr4" 4180 4273 23.3743570674408 0.270788772427475 1
"chr4" 4279 4388 18.2589919607317 0.570351677705987 1
"chr4" 4390 4509 28.548830431612 0.0970306384559969 1
"chr4" 4513 4624 24.4479554217266 0.223371955060914 1
"chr4" 4625 4728 35.3369551751789 0.0183813726293245 1
"chr4" 4733 4893 23.2001039986906 0.279076169174056 1
"chr4" 4896 5416 19.7479191292693 0.473794616173516 1
"chr4" 5418 7526 12.476649250079 0.898694133298103 1
"chr4" 7847 31149 11.0903548889591 0.943845597813355 1
"chr4" 31215 34450 8.31776616671934 0.989547910106698 1
"chr4" 34485 38209 4.15888308335967 0.999936057235936 1
"chr4" 38279 41633 8.31776616671934 0.989547910106698 1
"chr4" 41746 46435 6.93147180559945 0.996903810013208 1
"chr4" 46621 49939 8.31776616671934 0.989547910106698 1
"chr4" 49992 51961 9.90541566334612 0.969854757150076 1
"chr4" 52229 52737 7.61106795278104 0.994144144666388 1
"chr4" 52746 52993 5.54517744447956 0.999387052840982 1
"chr4" 52998 53190 2.77258872223978 0.999997936926593 1
"chr4" 53193 53499 4.15888308335967 0.999936057235936 1
"chr4" 53507 53866 15.2492379723188 0.761972909923259 1
"chr4" 53900 54521 14.2027416847897 0.820069430108507 1
"chr4" 54564 57086 15.9288341195004 0.721029345218744 1
"chr4" 57134 60654 10.7505568153683 0.952436520226208 1
"chr4" 60694 64739 13.5231455376081 0.853827831654405 1
"chr4" 64776 67516 5.54517744447956 0.999387052840982 1
"chr4" 67529 69335 9.70406052783923 0.973226165182778 1
"chr4" 69346 73465 16.9753304070295 0.654574974900269 1
"chr4" 73534 77500 9.70406052783923 0.973226165182778 1
"chr4" 77505 78373 4.15888308335967 0.999936057235936 1
"chr4" 78379 80584 12.6150921881629 0.893281477211159 1
"chr4" 80936 84713 12.476649250079 0.898694133298103 1
"chr4" 84948 87370 12.476649250079 0.898694133298103 1
"chr4" 87399 91875 9.70406052783923 0.973226165182778 1
"chr4" 92236 95587 15.2492379723188 0.761972909923259 1
"chr4" 95617 98979 12.476649250079 0.898694133298103 1
"chr4" 99352 105324 4.49868115695047 0.99987947820368 1
"chr4" 105448 106539 5.54517744447956 0.999387052840982 1
"chr4" 106548 106822 4.15888308335967 0.999936057235936 1
"chr4" 106823 106956 1.38629436111989 0.999999996236708 1
"chr4" 106964 107140 5.54517744447956 0.999387052840982 1
"chr4" 107149 107286 2.77258872223978 0.999997936926593 1
"chr4" 107301 107438 0 1 1
"chr4" 107455 107924 11.0903548889591 0.943845597813355 1
"chr4" 107980 110102 19.4081210556785 0.495457593211216 1
"chr4" 110116 112025 7.27126987919025 0.995695854373891 1
"chr4" 112134 116472 13.8629436111989 0.837376439135893 1
"chr4" 116715 120515 14.2027416847897 0.820069430108507 1
"chr4" 120522 122278 7.13282694110634 0.996226179134233 1
"chr4" 122301 123309 10.9248098841185 0.94814915561413 1
"chr4" 123320 123902 6.93147180559945 0.996903810013208 1
"chr4" 123920 124249 2.77258872223978 0.999997936926593 1
"chr4" 124250 124588 2.77258872223978 0.999997936926593 1
"chr4" 124607 125001 5.54517744447956 0.999387052840982 1
"chr4" 125032 126338 8.31776616671934 0.989547910106698 1
"chr4" 126345 127679 9.70406052783923 0.973226165182778 1
"chr4" 127694 130558 25.2930965737488 0.190447147086675 1
"chr4" 130893 133606 21.0762054169149 0.392659439213198 1
"chr4" 133637 137259 14.2027416847897 0.820069430108507 1
"chr4" 137293 140099 12.8164473236698 0.885119786360196 1
"chr4" 140411 141722 14.5425397583805 0.801958113686309 1
"chr4" 141744 145200 7.27126987919025 0.995695854373891 1
"chr4" 145220 148314 6.93147180559945 0.996903810013208 1
"chr4" 148457 153667 12.8164473236698 0.885119786360196 1
"chr4" 153986 156690 13.8629436111989 0.837376439135893 1
"chr4" 156693 159644 5.54517744447956 0.999387052840982 1
"chr4" 159762 163092 11.4301529625499 0.934295730858991 1
"chr4" 163286 164915 12.476649250079 0.898694133298103 1
"chr4" 165014 166226 12.476649250079 0.898694133298103 1
"chr4" 166302 169003 2.77258872223978 0.999997936926593 1
"chr4" 169230 175842 4.49868115695047 0.99987947820368 1
"chr4" 175861 180786 3.11238679583058 0.999994372184843 1
"chr4" 181369 183967 11.0903548889591 0.943845597813355 1
"chr4" 184105 185513 10.04385860143 0.967369670203849 1
"chr4" 185525 188917 5.54517744447956 0.999387052840982 1
