"chr" "start" "end" "stat" "pvalue" "FDR"
"chr4" 3278 3534 16.0474492727653 0.713676248666039 1
"chr4" 3539 3662 11.8648602136161 0.920648828511575 1
"chr4" 3667 3776 11.5187649265891 0.931644948966102 1
"chr4" 3778 3897 13.4280492023728 0.858272514137525 1
"chr4" 3902 3984 11.6217830564774 0.928479084600752 1
"chr4" 3990 4081 43.22030015874 0.00191158594589517 1
"chr4" 4082 4169 12.170431925963 0.910084897925345 1
"chr4" 4180 4273 16.7145245920878 0.671425346123104 1
"chr4" 4279 4388 19.2502388849229 0.505617799694866 1
"chr4" 4390 4509 11.2720278408712 0.938860568843912 1
"chr4" 4513 4624 6.5228967028789 0.997981356844057 1
"chr4" 4625 4728 9.43733092478141 0.977266085236056 1
"chr4" 4733 4893 6.78752810344408 0.997325910441582 1
"chr4" 4896 5416 17.8416185976027 0.59784084891173 1
"chr4" 5418 7526 8.94199538529501 0.98356940351635 1
"chr4" 7847 31149 20.5648571077384 0.423130154087953 1
"chr4" 31215 34450 26.9203642100515 0.13751939342878 1
"chr4" 34485 38209 22.652118042583 0.306197304006537 1
"chr4" 38279 41633 12.6464609558919 0.892032465641616 1
"chr4" 41746 46435 85.3935412145039 4.68195391756783e-10 2.66585774112395e-05
"chr4" 46621 49939 62.0597297057579 3.40235586337967e-06 0.188595987862999
"chr4" 49992 51961 23.3612865779731 0.271404707463582 1
"chr4" 52229 52737 25.6472984485231 0.177779006186616 1
"chr4" 52746 52993 4.15888308335967 0.999936057235936 1
"chr4" 52998 53190 0 1 1
"chr4" 53193 53499 4.49868115695047 0.99987947820368 1
"chr4" 53507 53866 21.5593505525383 0.364891907280416 1
"chr4" 53900 54521 45.9065058175345 0.000830172652584861 1
"chr4" 54564 57086 34.1231531486661 0.0253035774599826 1
"chr4" 57134 60654 7.67035775114559 0.993833701858879 1
"chr4" 60694 64739 6.14146127202571 0.998692508081105 1
"chr4" 64776 67516 5.65575496747375 0.999288945089142 1
"chr4" 67529 69335 14.5556161413162 0.801245832203959 1
"chr4" 69346 73465 10.8901022898007 0.949022829675353 1
"chr4" 73534 77500 63.106501326477 2.3293067418362e-06 0.129411623962935
"chr4" 77505 78373 130.121723573868 3.69835258067728e-18 2.13247009801852e-13
"chr4" 78379 80584 54.03361998771 5.71874271459465e-05 1
"chr4" 80936 84713 30.5280745158085 0.0617369637904656 1
"chr4" 84948 87370 12.5546278606284 0.895665461634622 1
"chr4" 87399 91875 6.45202567944474 0.998132851212309 1
"chr4" 92236 95587 7.97322559413833 0.992043409104031 1
